-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2023 
Location: Latitude  6.5   Longitude -75.25 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1291.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
YEAR,MO,DY,WS10M_MAX
2016,2,9,1.56
2016,2,10,1.77
2016,2,11,1.43
2016,2,12,1.55
2016,2,13,1.51
2016,2,14,1.46
2016,2,15,1.91
2016,2,16,1.77
2016,2,17,1.82
2016,2,18,1.64
2016,2,19,1.75
2016,2,20,1.76
2016,2,21,1.58
2016,2,22,1.3
2016,2,23,1.52
2016,2,24,1.52
2016,2,25,1.73
2016,2,26,1.87
2016,2,27,1.91
2016,2,28,1.86
2016,2,29,1.88
2016,3,1,1.79
2016,3,2,1.74
2016,3,3,1.53
2016,3,4,1.63
2016,3,5,1.62
2016,3,6,1.36
2016,3,7,1.66
2016,3,8,1.84
2016,3,9,1.81
2016,3,10,1.39
2016,3,11,1.81
2016,3,12,1.29
2016,3,13,1.16
2016,3,14,1.51
2016,3,15,1.7
2016,3,16,1.38
2016,3,17,0.88
2016,3,18,1.91
2016,3,19,1.3
2016,3,20,0.96
2016,3,21,1.42
2016,3,22,1.48
2016,3,23,1.69
2016,3,24,1.52
2016,3,25,1.37
2016,3,26,1.68
2016,3,27,1.48
2016,3,28,1.55
2016,3,29,1.48
2016,3,30,1.54
2016,3,31,1.16
2016,4,1,1.36
2016,4,2,0.62
2016,4,3,1.8
2016,4,4,1.41
2016,4,5,1.67
2016,4,6,1.7
2016,4,7,1.53
2016,4,8,1.8
2016,4,9,1.26
2016,4,10,1.23
2016,4,11,1.06
2016,4,12,1.42
2016,4,13,1.37
2016,4,14,1.5
2016,4,15,1.59
2016,4,16,1.34
2016,4,17,1.65
2016,4,18,1.52
2016,4,19,1.7
2016,4,20,1.52
2016,4,21,1.7
2016,4,22,1.32
2016,4,23,1.23
2016,4,24,1.11
2016,4,25,1.54
2016,4,26,1.08
2016,4,27,1.39
2016,4,28,1.03
2016,4,29,0.87
2016,4,30,1.05
2016,5,1,0.98
2016,5,2,0.98
2016,5,3,1.09
2016,5,4,0.84
